iter	Passed	Remaining
0	87	87068
1	88	43973
2	89	29599
3	89	22409
4	91	18115
5	91	15239
6	92	13182
7	94	11698
8	95	10490
9	96	9519
10	99	8924
11	100	8276
12	101	7707
13	102	7225
14	103	6801
15	104	6428
16	105	6097
17	106	5803
18	107	5541
19	108	5313
20	109	5102
21	110	4909
22	113	4840
23	114	4674
24	116	4526
25	117	4385
26	118	4255
27	119	4133
28	120	4020
29	121	3913
30	122	3813
31	122	3719
32	123	3631
33	124	3548
34	128	3540
35	129	3470
36	130	3397
37	131	3328
38	132	3262
39	133	3199
40	134	3139
41	135	3087
42	136	3035
43	137	2988
44	138	2938
45	139	2890
46	142	2895
47	145	2877
48	146	2840
49	149	2838
50	150	2803
51	151	2763
52	152	2728
53	153	2690
54	154	2658
55	156	2633
56	157	2604
57	158	2575
58	159	2546
59	161	2523
60	164	2531
61	165	2504
62	166	2475
63	167	2447
64	171	2473
65	173	2453
66	174	2426
67	175	2400
68	176	2375
69	176	2351
70	178	2329
71	178	2306
72	179	2284
73	180	2261
74	181	2243
75	183	2232
76	187	2243
77	188	2224
78	189	2204
79	189	2184
80	191	2171
81	192	2152
82	192	2129
83	193	2111
84	194	2094
85	195	2079
86	196	2063
87	197	2046
88	201	2059
89	202	2043
90	202	2027
91	203	2011
92	204	1998
93	205	1984
94	206	1969
95	207	1956
96	208	1945
97	210	1936
98	211	1923
99	212	1910
100	213	1899
101	215	1894
102	216	1887
103	217	1877
104	218	1864
105	219	1853
106	220	1842
107	221	1831
108	222	1820
109	223	1809
110	224	1798
111	225	1790
112	228	1792
113	229	1784
114	230	1775
115	231	1765
116	232	1753
117	233	1743
118	234	1737
119	235	1727
120	236	1717
121	237	1706
122	238	1698
123	239	1689
124	240	1681
125	241	1671
126	243	1675
127	245	1669
128	246	1661
129	246	1652
130	247	1644
131	248	1636
132	249	1628
133	250	1620
134	251	1612
135	252	1606
136	254	1600
137	254	1592
138	255	1584
139	259	1592
140	262	1597
141	263	1590
142	264	1584
143	265	1578
144	266	1571
145	267	1564
146	268	1556
147	269	1550
148	270	1543
149	272	1546
150	274	1544
151	275	1539
152	276	1532
153	277	1525
154	278	1518
155	279	1512
156	280	1507
157	281	1500
158	282	1494
159	283	1488
160	284	1481
161	285	1475
162	286	1468
163	288	1471
164	290	1467
165	291	1464
166	292	1460
167	293	1454
168	294	1448
169	295	1443
170	296	1437
171	297	1433
172	298	1428
173	299	1422
174	300	1417
175	303	1422
176	305	1419
177	306	1413
178	307	1410
179	308	1406
180	309	1401
181	310	1396
182	311	1391
183	312	1386
184	313	1380
185	314	1375
186	315	1370
187	318	1375
188	320	1373
189	321	1368
190	322	1363
191	322	1359
192	323	1354
193	324	1349
194	325	1344
195	326	1340
196	327	1335
197	328	1330
198	329	1326
199	330	1322
200	332	1323
201	335	1324
202	336	1319
203	337	1315
204	338	1311
205	339	1306
206	339	1302
207	340	1297
208	341	1293
209	342	1288
210	344	1286
211	345	1282
212	346	1278
213	347	1277
214	348	1273
215	349	1268
216	350	1264
217	351	1260
218	352	1256
219	353	1252
220	354	1248
221	355	1244
222	355	1240
223	356	1236
224	357	1232
225	358	1228
226	362	1233
227	363	1230
228	364	1227
229	365	1223
230	366	1219
231	367	1216
232	368	1212
233	369	1208
234	370	1204
235	371	1201
236	371	1197
237	373	1194
238	373	1190
239	377	1194
240	379	1196
241	380	1192
242	381	1189
243	382	1186
244	383	1182
245	384	1179
246	385	1175
247	386	1172
248	388	1171
249	389	1168
250	392	1171
251	393	1168
252	394	1165
253	395	1161
254	396	1158
255	397	1155
256	398	1152
257	399	1149
258	400	1146
259	401	1143
260	402	1140
261	403	1137
262	407	1140
263	408	1139
264	409	1135
265	410	1132
266	411	1129
267	412	1126
268	413	1123
269	414	1120
270	415	1117
271	416	1115
272	417	1112
273	418	1109
274	420	1107
275	422	1107
276	424	1107
277	425	1104
278	426	1101
279	427	1098
280	428	1095
281	428	1092
282	429	1089
283	430	1086
284	431	1083
285	433	1082
286	437	1087
287	439	1085
288	440	1082
289	441	1080
290	442	1078
291	443	1076
292	444	1073
293	445	1070
294	446	1067
295	447	1064
296	448	1061
297	451	1064
298	453	1063
299	454	1061
300	455	1058
301	456	1055
302	457	1052
303	458	1050
304	460	1048
305	462	1047
306	463	1045
307	464	1042
308	465	1041
309	466	1039
310	468	1037
311	469	1035
312	470	1033
313	471	1030
314	472	1027
315	473	1025
316	474	1022
317	475	1019
318	476	1016
319	477	1014
320	478	1012
321	482	1015
322	483	1012
323	484	1010
324	485	1007
325	485	1004
326	486	1002
327	487	999
328	488	997
329	489	994
330	490	991
331	491	989
332	492	986
333	493	983
334	497	987
335	499	986
336	500	984
337	502	985
338	504	983
339	505	982
340	507	980
341	508	977
342	510	978
343	512	976
344	513	974
345	515	973
346	516	971
347	517	969
348	518	967
349	519	965
350	520	963
351	523	964
352	525	962
353	526	960
354	527	958
355	528	955
356	529	954
357	534	958
358	536	957
359	541	963
360	543	962
361	544	960
362	545	957
363	546	955
364	549	956
365	551	955
366	552	953
367	556	955
368	557	953
369	560	954
370	561	952
371	562	949
372	563	947
373	564	944
374	565	942
375	566	939
376	567	937
377	571	940
378	572	938
379	574	936
380	575	934
381	576	932
382	577	930
383	578	928
384	579	925
385	580	923
386	581	920
387	582	918
388	583	915
389	587	918
390	588	916
391	590	915
392	591	913
393	592	910
394	593	908
395	593	905
396	594	903
397	596	901
398	597	900
399	602	903
400	603	901
401	606	902
402	607	900
403	608	898
404	609	896
405	611	894
406	612	892
407	613	890
408	617	892
409	621	893
410	624	894
411	625	892
412	626	890
413	627	887
414	628	885
415	634	891
416	635	889
417	636	886
418	637	884
419	639	882
420	640	880
421	641	878
422	642	876
423	643	873
424	646	874
425	647	872
426	648	869
427	649	867
428	650	866
429	652	864
430	652	862
431	654	860
432	655	858
433	656	856
434	657	854
435	658	851
436	662	853
437	664	852
438	665	850
439	666	848
440	667	846
441	668	844
442	669	841
443	670	839
444	671	837
445	672	835
446	673	832
447	674	831
448	676	830
449	678	828
450	679	827
451	680	824
452	681	822
453	682	820
454	683	818
455	684	816
456	685	814
457	686	811
458	688	810
459	688	808
460	691	808
461	692	806
462	693	804
463	694	802
464	696	800
465	698	799
466	699	798
467	700	795
468	700	793
469	701	791
470	702	789
471	703	787
472	707	788
473	708	786
474	709	784
475	710	782
476	711	780
477	712	778
478	713	776
479	714	774
480	715	772
481	716	770
482	717	768
483	718	765
484	721	765
485	722	764
486	724	763
487	725	761
488	726	759
489	727	757
490	728	755
491	729	753
492	730	751
493	731	748
494	732	747
495	733	745
496	734	742
497	736	742
498	738	741
499	738	738
500	739	736
501	740	735
502	741	733
503	742	731
504	743	729
505	744	727
506	745	724
507	746	722
508	747	720
509	748	718
510	749	716
511	750	715
512	751	713
513	754	713
514	762	717
515	769	721
516	772	721
517	773	719
518	773	717
519	774	715
520	775	713
521	776	711
522	777	709
523	778	707
524	780	706
525	781	704
526	782	702
527	783	700
528	784	698
529	786	697
530	787	695
531	788	693
532	789	691
533	790	689
534	791	687
535	794	687
536	795	685
537	796	684
538	797	682
539	799	680
540	800	679
541	801	677
542	803	676
543	804	674
544	805	672
545	806	670
546	808	669
547	811	668
548	812	667
549	813	665
550	814	663
551	815	661
552	816	659
553	817	658
554	818	656
555	819	654
556	820	652
557	824	653
558	825	651
559	826	649
560	827	647
561	829	646
562	830	644
563	831	642
564	832	640
565	833	638
566	834	637
567	835	635
568	839	635
569	840	634
570	841	632
571	842	630
572	843	628
573	844	626
574	845	625
575	846	623
576	848	621
577	849	619
578	850	618
579	851	616
580	854	616
581	855	614
582	856	612
583	858	611
584	859	609
585	859	607
586	860	605
587	861	603
588	862	602
589	863	600
590	865	598
591	868	598
592	869	597
593	871	595
594	872	593
595	873	592
596	874	590
597	876	589
598	877	587
599	878	585
600	880	584
601	881	582
602	885	582
603	886	581
604	887	579
605	889	578
606	890	576
607	891	574
608	893	573
609	894	571
610	895	570
611	896	568
612	898	567
613	899	565
614	901	564
615	902	562
616	903	560
617	904	559
618	906	557
619	907	556
620	908	554
621	912	554
622	913	552
623	914	551
624	916	549
625	917	548
626	918	546
627	920	545
628	921	543
629	922	541
630	924	540
631	928	540
632	929	539
633	931	537
634	932	535
635	933	534
636	934	532
637	936	531
638	937	529
639	938	528
640	942	527
641	943	526
642	945	524
643	946	523
644	947	521
645	948	520
646	950	518
647	951	516
648	953	515
649	954	514
650	958	513
651	959	512
652	960	510
653	961	508
654	963	507
655	964	505
656	965	504
657	966	502
658	968	500
659	974	502
660	979	502
661	982	501
662	983	500
663	988	500
664	991	499
665	992	497
666	994	496
667	995	494
668	996	493
669	997	491
