iter	Passed	Remaining
0	1	170
1	5	258
2	9	315
3	10	263
4	12	238
5	14	221
6	16	214
7	19	229
8	23	241
9	25	229
10	27	220
11	29	214
12	32	216
13	39	242
14	41	233
15	42	224
16	44	216
17	45	209
18	47	202
19	51	204
20	59	222
21	60	215
22	62	210
23	65	207
24	67	201
25	69	198
26	71	194
27	75	193
28	77	188
29	81	189
30	84	188
31	86	184
32	99	202
33	109	211
34	110	205
35	114	202
36	115	197
37	117	191
38	118	186
39	167	250
40	168	242
41	171	237
42	177	234
43	179	228
44	181	221
45	183	215
46	189	213
47	190	206
48	196	204
49	197	197
50	199	191
51	203	187
52	209	185
53	212	181
54	213	174
55	220	172
56	223	168
57	225	162
58	226	157
59	234	156
60	239	153
61	242	148
62	243	143
63	245	138
64	249	134
65	251	129
66	255	125
67	256	120
68	260	117
69	265	113
70	269	110
71	272	106
72	274	101
73	275	96
74	279	93
75	281	88
76	283	84
77	288	81
78	289	77
79	297	74
80	300	70
81	301	66
82	303	62
83	309	58
84	311	54
85	313	51
86	321	47
87	322	44
88	328	40
89	330	36
90	334	33
91	338	29
92	340	25
93	341	21
94	344	18
95	345	14
96	347	10
97	348	7
98	350	3
99	353	0
